??,??KB,????
21,6.7,2026-06-07 20:04:18
19,8.6,2026-06-08 09:35:58
111,7.6,2026-06-07 20:04:18
6,0.4,2026-07-12 16:51:58
21,7.4,2026-07-12 16:51:58
2190,462.6,2026-06-06 21:27:37
3221,690.6,2026-06-06 21:27:12
1076,230.9,2026-06-04 22:15:19
2270,466.2,2026-06-06 21:26:51
3220,690.6,2026-06-07 14:59:36
1155,234.5,2026-06-04 22:14:46
