model_type,model_name,seeds,test_acc_mean,test_acc_std,test_f1_mean,test_f1_std,test_auroc_mean,test_auroc_std,test_auprc_mean,test_auprc_std
Baseline,Medformer,"42,43,44",0.7303633333333334,0.002026433648884963,0.6174966666666667,0.0012755521680171396,0.8945733333333333,0.001841204316020695,0.6594233333333334,0.0021594057824626607
FFT,MedformerFFT,"42,43,44",0.7320366666666667,0.0010981044273353233,0.61876,0.000540277706369646,0.89533,0.0018728854743416741,0.6626866666666666,0.004360921156514222
